Entity,pop2022,Laws,number,Code
Afghanistan,40754.388,To save a woman's life,3,AFG
Albania,2866.374,On Request (Gestational Limits Vary),1,ALB
Algeria,45350.148,To Preserve Health,5,DZA
Andorra,77.463,Prohibited altogether,2,AND
Angola,35027.343,To Preserve Health,5,AGO
Antigua and Barbuda,99.509,To save a woman's life,3,ATG
Argentina,46010.234,On Request (Gestational Limits Vary),1,ARG
Armenia,2971.966,On Request (Gestational Limits Vary),1,ARM
Australia,26068.792,On Request (Gestational Limits Vary),1,AUS
Austria,9066.71,On Request (Gestational Limits Vary),1,AUT
Azerbaijan,10300.205,On Request (Gestational Limits Vary),1,AZE
Bahamas,400.516,To Preserve Health,5,BHS
Bahrain,1783.983,On Request (Gestational Limits Vary),1,BHR
Bangladesh,167885.689,To save a woman's life,3,BGD
Barbados,288.023,Socioeconomic Grounds,4,BRB
Belarus,9432.8,On Request (Gestational Limits Vary),1,BLR
Belgium,11668.278,On Request (Gestational Limits Vary),1,BEL
Belize,412.19,Socioeconomic Grounds,4,BLZ
Benin,12784.726,To Preserve Health,5,BEN
Bhutan,787.941,To save a woman's life,3,BTN
Bolivia,11992.656,To Preserve Health,5,BOL
Bosnia and Herzegovina,3249.317,On Request (Gestational Limits Vary),1,BIH
Botswana,2441.162,To Preserve Health,5,BWA
Brazil,215353.593,To save a woman's life,3,BRA
Bulgaria,6844.597,On Request (Gestational Limits Vary),1,BGR
Burkina Faso,22102.838,To Preserve Health,5,BFA
Burundi,12624.84,To Preserve Health,5,BDI
Cambodia,17168.639,On Request (Gestational Limits Vary),1,KHM
Cameroon,27911.548,To Preserve Health,5,CMR
Canada,38388.419,On Request (Gestational Limits Vary),1,CAN
Cape Verde,567.678,On Request (Gestational Limits Vary),1,CPV
Central African Republic,5016.678,To Preserve Health,5,CAF
Chad,17413.58,To Preserve Health,5,TCD
Chile,19250.195,To save a woman's life,3,CHL
Colombia,51512.762,To Preserve Health,5,COL
Comoros,907.419,To Preserve Health,5,COM
Costa Rica,5182.354,To Preserve Health,5,CRI
Croatia,4059.286,On Request (Gestational Limits Vary),1,HRV
Cuba,11305.652,On Request (Gestational Limits Vary),1,CUB
Cyprus,1223.387,On Request (Gestational Limits Vary),1,CYP
Czech Republic,10736.784,On Request (Gestational Limits Vary),1,CZE
Denmark,5834.95,On Request (Gestational Limits Vary),1,DNK
Djibouti,1016.097,To Preserve Health,5,DJI
Dominica,72.344,To save a woman's life,3,DMA
Republic of Congo,5787698,Prohibited altogether,2,COG
Democratic Republic of the Congo,95240.792,To Preserve Health,5,COD
Ecuador,18113.361,To Preserve Health,5,ECU
Egypt,106156.692,Prohibited altogether,2,EGY
El Salvador,6550.389,Prohibited altogether,2,SLV
Equatorial Guinea,1496.662,To Preserve Health,5,GNQ
Eritrea,3662.244,To Preserve Health,5,ERI
Estonia,1321.91,On Request (Gestational Limits Vary),1,EST
Eswatini,1184.817,To Preserve Health,5,SWZ
Ethiopia,120812.698,Socioeconomic Grounds,5,ETH
Fiji,909.466,Socioeconomic Grounds,4,FJI
Finland,5554.96,Socioeconomic Grounds,4,FIN
France,65584.518,On Request (Gestational Limits Vary),1,FRA
Gambia,2558.482,To save a woman's life,3,GMB
Germany,83883.596,On Request (Gestational Limits Vary),1,DEU
Ghana,32395.45,To Preserve Health,5,GHA
Greece,10316.637,On Request (Gestational Limits Vary),1,GRC
Grenada,113.475,To Preserve Health,5,GRD
Guatemala,18584.039,To save a woman's life,3,GTM
Guinea,13865.691,To Preserve Health,5,GIN
Guyana,794.045,On Request (Gestational Limits Vary),1,GUY
Haiti,11680.283,Prohibited altogether,2,HTI
Honduras,10221.247,Prohibited altogether,2,HND
Hong Kong,7604.299,Socioeconomic Grounds,4,HKG
Hungary,9606.259,On Request (Gestational Limits Vary),1,HUN
Iceland,345.393,On Request (Gestational Limits Vary),1,ISL
India,1406631.776,Socioeconomic Grounds,4,IND
Indonesia,279134.505,To save a woman's life,3,IDN
Iran,86022.837,To save a woman's life,3,IRN
Iraq,42164.965,Prohibited altogether,2,IRQ
Ireland,5020.199,On Request (Gestational Limits Vary),1,IRL
Israel,8922.892,To Preserve Health,5,ISR
Italy,60262.77,On Request (Gestational Limits Vary),1,ITA
Jamaica,2985.094,Prohibited altogether,2,JAM
Japan,125584.838,Socioeconomic Grounds,4,JPN
Jordan,10300.869,To Preserve Health,5,JOR
Kazakhstan,19205.043,On Request (Gestational Limits Vary),1,KAZ
Kenya,56215.221,To Preserve Health,5,KEN
Kiribati,123.419,To save a woman's life,3,KIR
Kuwait,4380.326,To Preserve Health,5,KWT
Kyrgyzstan,6728.271,On Request (Gestational Limits Vary),1,KGZ
